id,keyword A,keyword C,exist_B,num_B,meaningful,keywords B
id1,ship,mitch,True,21, ,"[('million', 3), ('senate', 3), ('elaine', 3), ('year', 3), ('mcconnell', 3), ('chao', 3), ('colombia', 3), ('china', 3), ('dollar', 2), ('europe', 2), ('chinese', 2), ('united', 2), ('cocaine', 2), ('states', 2), ('corporation', 2), ('drug', 1), ('family', 1), ('schweizer', 1), ('peter', 1), ('liberia', 1), ('state', 1)]"
id1,cargo,leader,False,0, ,[]
id1,cargo,mitch,False,0, ,[]
id1,leader,mitch,False,0, ,[]
id2,lunch,program,False,0, ,[]
id2,lunch,october,False,0, ,[]
id2,lunch,school,False,0, ,[]
id2,lunch,obama,False,0, ,[]
id2,lunch,trump,False,0, ,[]
id2,lunch,michelle,False,0, ,[]
id2,lunch,cancel,False,0, ,[]
id2,lunch,president,False,0, ,[]
id2,program,october,False,0, ,[]
id2,program,school,False,0, ,[]
id2,program,obama,False,0, ,[]
id2,program,trump,False,0, ,[]
id2,program,michelle,False,0, ,[]
id2,program,cancel,False,0, ,[]
id2,program,president,False,0, ,[]
id2,october,school,True,15, ,"[('science', 1), ('sonny', 1), ('percent', 1), ('administration', 1), ('agriculture', 1), ('obama', 1), ('year', 1), ('center', 1), ('trump', 1), ('georgia', 1), ('michelle', 1), ('monday', 1), ('perdue', 1), ('wootan', 1), ('elementary', 1)]"
id2,october,obama,True,15, ,"[('science', 1), ('sonny', 1), ('percent', 1), ('administration', 1), ('agriculture', 1), ('school', 1), ('year', 1), ('center', 1), ('trump', 1), ('georgia', 1), ('michelle', 1), ('monday', 1), ('perdue', 1), ('wootan', 1), ('elementary', 1)]"
id2,october,trump,True,15, ,"[('science', 1), ('sonny', 1), ('percent', 1), ('administration', 1), ('agriculture', 1), ('school', 1), ('obama', 1), ('year', 1), ('center', 1), ('georgia', 1), ('michelle', 1), ('monday', 1), ('perdue', 1), ('wootan', 1), ('elementary', 1)]"
id2,october,michelle,True,15, ,"[('science', 1), ('sonny', 1), ('percent', 1), ('administration', 1), ('agriculture', 1), ('school', 1), ('obama', 1), ('year', 1), ('center', 1), ('trump', 1), ('georgia', 1), ('monday', 1), ('perdue', 1), ('wootan', 1), ('elementary', 1)]"
id2,october,cancel,False,0, ,[]
id2,october,president,False,0, ,[]
id2,school,obama,True,14, ,"[('science', 2), ('sonny', 2), ('percent', 2), ('administration', 2), ('agriculture', 2), ('year', 2), ('center', 2), ('trump', 2), ('georgia', 2), ('michelle', 2), ('monday', 2), ('perdue', 2), ('wootan', 2), ('elementary', 2)]"
